"","ID","city","year","weekofyear","trimester","ndvi","precipitation","air_temp_mean","diur_temp_range","humidity","total_cases","cases"
"16",16,"sj",1990,33,"T3",0.436359804943418,0.232334869431644,0.703682719592211,0.0340798442063535,0.777523685071509,13,"low"
"17",17,"sj",1990,34,"T3",0.448093322680298,0.0829493087557604,0.753163361671511,0.0769230769228148,0.73848415550921,21,"low"
"18",18,"sj",1990,35,"T3",0.629621263578038,0.104813108038914,0.724834749810191,0.0370009737099499,0.777523685071509,28,"low"
"19",19,"sj",1990,36,"T3",0.55315990269044,0.0738863287250384,0.77922568459978,0.144109055501444,0.668245671351957,24,"low"
"20",20,"sj",1990,37,"T3",0.50583142285504,0.165284178187404,0.798300283240731,0.105160662122657,0.807415877162377,20,"low"
"21",21,"sj",1990,38,"T3",0.548806932741015,0.367972350230415,0.690273843217762,0.026290165531005,0.706305129050484,40,"low"
"22",22,"sj",1990,39,"T3",0.499088279726685,0.131566820276498,0.765627950869333,0.0613437195714363,0.657791571387876,27,"low"
"23",23,"sj",1990,40,"T4",0.503828813612687,0.0798259088581669,0.811709159615172,0.105160662122657,0.739137536755536,42,"low"
"24",24,"sj",1990,41,"T4",0.39650779999872,0.131643625192012,0.690273843217762,0.0827653359300077,0.777196994454063,33,"low"
"25",25,"sj",1990,42,"T4",0.388491747375383,0.367511520737327,0.602832861212572,0.0350535540411128,0.731786997714361,43,"low"
"26",26,"sj",1990,43,"T4",0.359974115690928,0.325217613927291,0.564117091598269,0.0301850048686793,0.689970597846602,37,"low"
"27",27,"sj",1990,44,"T4",0.595025315137402,0.2594726062468,0.67308781866565,0.0292112950339199,0.722476314934209,57,"low"
"28",28,"sj",1990,45,"T4",0.44824255658797,0.0523809523809524,0.705571293681043,0.0701071080815441,0.727049983669923,71,"low"
"29",29,"sj",1990,46,"T4",0.545191876480524,0.0512032770097286,0.755429650604553,0.0574488802337621,0.614015027769706,44,"low"
"30",30,"sj",1990,47,"T4",0.515393372806715,0.0513056835637481,0.644570349316134,0.0798442064264112,0.575955570082614,56,"low"
"31",31,"sj",1990,48,"T4",0.436647027481623,0.0860471070148489,0.476298394748868,0.0428432327164613,0.513721006212861,53,"low"
"32",32,"sj",1990,49,"T4",0.45559784790205,0.0254992319508449,0.516525023607801,0.0477117818888949,0.508330610910664,52,"low"
"33",33,"sj",1990,50,"T4",0.483884860604781,0,0.471576959394586,0.111002921129168,0.217249264946451,47,"low"
"34",34,"sj",1990,51,"T4",0.626038141110764,0.134280593958013,0.484041548592408,0.10321324245382,0.484645540677041,26,"low"
"35",35,"sj",1990,52,"T4",0.537627842090309,0,0.449858356976389,0.0632911392402734,0.224926494616506,27,"low"
"36",36,"sj",1991,1,"T1",0.40903724587914,0,0.320491029247234,0.0798442064264112,0.205325057169561,21,"low"
"37",37,"sj",1991,2,"T1",0.428956137983708,0.0405785970302099,0.401699716653513,0.0360272638751906,0.337961450505289,21,"low"
"38",38,"sj",1991,3,"T1",0.58620908770686,0,0.368460812081905,0.0438169425512207,0.352499183278916,26,"low"
"39",39,"sj",1991,4,"T1",0.601242640282168,0,0.429461756314615,0.0817916260952484,0.247304802357477,34,"low"
"40",40,"sj",1991,5,"T1",0.481035419132063,0,0.450613786532604,0.0963972736125491,0.266252858546662,37,"low"
"41",41,"sj",1991,6,"T1",0.611757575086542,0,0.410387157673671,0.0730282375851406,0.323097027114216,17,"low"
"42",42,"sj",1991,7,"T1",0.505469255084722,0.0462109575012801,0.297261567452209,0.125608568646469,0.313786344334064,19,"low"
"43",43,"sj",1991,8,"T1",0.399480883642814,0,0.367327667549288,0.0827653359300077,0.379614505064325,25,"low"
"44",44,"sj",1991,9,"T1",0.451771659817112,0.0813876088069636,0.379414542035106,0.0516066212272507,0.352009147341313,18,"low"
"45",45,"sj",1991,10,"T1",0.548637289703033,0,0.415297450383959,0.0603700097373585,0.366383534794783,21,"low"
"46",46,"sj",1991,11,"T1",0.535517194371692,0,0.369593956482331,0.0934761441089526,0.35119242077483,17,"low"
"47",47,"sj",1991,12,"T1",0.411900936025997,0,0.366383380504869,0.0808179162611706,0.346455406730393,17,"low"
"48",48,"sj",1991,13,"T1",0.573908235261351,0,0.374693106680824,0.0954235637777897,0.39251878471642,16,"low"
"49",49,"sj",1991,14,"T2",0.519099746305291,0.0330773169482847,0.321057601447443,0.0632911392402734,0.260209081998138,16,"low"
"50",50,"sj",1991,15,"T2",0.496590738597332,0.0153609831029186,0.361850802638783,0.0866601752676819,0.374714145711164,15,"low"
"51",51,"sj",1991,16,"T2",0.385458078927622,0.11410650281618,0.350141642997176,0.04479065238598,0.230643580536149,23,"low"
"52",52,"sj",1991,17,"T2",0.491384217189835,0.083768561187916,0.454579792198472,0.0642648490750327,0.428291408035656,16,"low"
"53",53,"sj",1991,18,"T2",0.457777559782376,0,0.554674220889697,0.0983446932813862,0.525808559298474,17,"low"
"54",54,"sj",1991,19,"T2",0.370446555920076,0.0905785970302099,0.529178470293835,0.0720545277510628,0.511107481216124,12,"low"
"55",55,"sj",1991,20,"T2",0.351910818934318,0.0106502816180236,0.487818696902278,0.0778967867575741,0.486932375044899,17,"low"
"56",56,"sj",1991,21,"T2",0.336705263908222,0.130977982590886,0.522001888518298,0.0340798442063535,0.547206795164239,10,"low"
"57",57,"sj",1991,22,"T2",0.478270044836764,0.141756272401434,0.551652502400439,0.0535540408960878,0.563704671676844,15,"low"
"58",58,"sj",1991,23,"T2",0.347264046911865,0.0206861239119304,0.645514636492752,0.10321324245382,0.526951976482403,19,"low"
"59",59,"sj",1991,24,"T2",0.41204861934266,0.0155913978494624,0.694806421083847,0.0710808179163034,0.590819993473687,21,"low"
"60",60,"sj",1991,25,"T2",0.328130131028754,0.113287250384025,0.679508970752766,0.0555014605649249,0.684743547864562,14,"low"
"61",61,"sj",1991,26,"T2",0.383568243750292,0.188837685611879,0.631161473073892,0.0467380720548171,0.676086246330735,18,"low"
"62",62,"sj",1991,27,"T3",0.477924416703878,0.0683563748079877,0.626062322875399,0.0535540408960878,0.644560601118335,13,"low"
"63",63,"sj",1991,28,"T3",0.380277805812975,0.0156938044034818,0.709348441858714,0.0730282375851406,0.621528912119604,14,"low"
"64",64,"sj",1991,29,"T3",0.319337120555485,0.0759600614439324,0.740132200141273,0.0730282375851406,0.658281607325479,18,"low"
"65",65,"sj",1991,30,"T3",0.304045052329576,0.144854070660522,0.683852691262845,0.0603700097373585,0.688173799416348,23,"low"
"66",66,"sj",1991,31,"T3",0.448498529828089,0.123937532002048,0.689707271017553,0.0642648490750327,0.704671675928953,25,"low"
"67",67,"sj",1991,32,"T3",0.401373051691302,0.0340245775729647,0.686874409752103,0.0603700097373585,0.70663181966793,62,"low"
"68",68,"sj",1991,33,"T3",0.362527478096613,0,0.764683663824921,0.0564751703990027,0.708428618098184,60,"low"
"69",69,"sj",1991,34,"T3",0.334232502899511,0.132821300563236,0.75033050040606,0.0710808179163034,0.719862789937471,76,"low"
"70",70,"sj",1991,35,"T3",0.380543669309261,0.141321044546851,0.724645892321987,0.0691333982474663,0.729010127408901,66,"low"
"71",71,"sj",1991,36,"T3",0.36551940631072,0.168714797747056,0.723135033077365,0.0525803310613285,0.748611564855846,64,"low"
"72",72,"sj",1991,37,"T3",0.373635660639546,0.0859190988223246,0.78054768648841,0.114897760467524,0.70663181966793,68,"low"
"73",73,"sj",1991,38,"T3",0.406604536217119,0.0756016385048643,0.778847969755576,0.0749756572539777,0.764292714801967,89,"low"
"74",74,"sj",1991,39,"T3",0.45106685334162,0.188300051203277,0.717091595834453,0.0486854917236542,0.723619732118137,92,"low"
"75",75,"sj",1991,40,"T4",0.435269935033966,0.0811059907834101,0.662889518400863,0.0467380720548171,0.701404769685889,140,"low"
"76",76,"sj",1991,41,"T4",0.364392378094201,0.0821812596006144,0.651369216247453,0.0613437195714363,0.643580529243129,116,"low"
"77",77,"sj",1991,42,"T4",0.305462166788417,0.00842293906810036,0.695561850772261,0.0642648490750327,0.653544593269607,142,"low"
"78",78,"sj",1991,43,"T4",0.44587622898429,0.128622631848438,0.694806421083847,0.0993184031161456,0.58706305129302,129,"low"
"79",79,"sj",1991,44,"T4",0.338528268613055,0.18589349718382,0.696694995304878,0.114897760467524,0.647174126103638,140,"low"
"80",80,"sj",1991,45,"T4",0.297934466517256,0.109882232462878,0.588857412637915,0.105160662122657,0.600457366871285,140,"low"
"81",81,"sj",1991,46,"T4",0.406530736466652,0.201561699948797,0.535410764892747,0.0418695228823835,0.611238157464246,127,"low"
"82",82,"sj",1991,47,"T4",0.30396576264878,0,0.53711048162558,0.0623174294061956,0.428128062726933,129,"low"
"83",83,"sj",1991,48,"T4",0.400571844553687,0.0904761904761905,0.4944287063454,0.0457643622200578,0.52678863117368,169,"moderate"
"84",84,"sj",1991,49,"T4",0.359902243702257,0,0.529745042494044,0.0301850048686793,0.528748774912657,141,"low"
"85",85,"sj",1991,50,"T4",0.42233301898104,0,0.513314447630346,0.04479065238598,0.47664162038954,108,"low"
"86",86,"sj",1991,51,"T4",0.267475114924602,0,0.455901794087095,0.0486854917236542,0.299575302189316,78,"low"
"87",87,"sj",1991,52,"T4",0.370967261144122,0,0.249291784617538,0.0584225900685214,0.219536099314308,70,"low"
"88",88,"sj",1992,1,"T1",0.427407851907059,0.11715409134764,0.537544226706964,0.241735923966797,0.575220290246636,81,"low"
"89",89,"sj",1992,2,"T1",0.333656437385649,0.5142089093702,0.433238904624485,0.0642648490750327,0.475988239143215,104,"low"
"90",90,"sj",1992,3,"T1",0.511456045063494,0.00798771121351767,0.357318224772706,0.0340798442063535,0.470761189161174,90,"low"
"91",91,"sj",1992,4,"T1",0.411349135166037,0,0.324645892269109,0.068159688412707,0.316399869330801,85,"low"
"92",92,"sj",1992,5,"T1",0.38644289978852,0,0.368083097237702,0.0740019474198999,0.282424044430386,55,"low"
"93",93,"sj",1992,6,"T1",0.358786698240779,0,0.301983002806499,0.13924050632901,0.275236850709368,53,"low"
"94",94,"sj",1992,7,"T1",0.437402863767537,0.11715409134764,0.41813031164941,0.0574488802337621,0.496733093762654,65,"low"
"95",95,"sj",1992,8,"T1",0.480449561147053,0.11715409134764,0.431350330535654,0.0837390457640855,0.377000980079021,33,"low"
"96",96,"sj",1992,9,"T1",0.371768162354321,0.11715409134764,0.375070821525027,0.0720545277510628,0.304802352171357,38,"low"
"97",97,"sj",1992,10,"T1",0.471500667384847,0,0.398677998032056,0.0652385589097921,0.341391702057075,59,"low"
"98",98,"sj",1992,11,"T1",0.347985448901943,0.0594470046082949,0.396411709099014,0.0788704965923335,0.369160405100244,40,"low"
"99",99,"sj",1992,12,"T1",0.328408483068843,0,0.437771482490571,0.0915287244401155,0.391048676903612,37,"low"
"100",100,"sj",1992,13,"T1",0.35770212269162,0,0.341454202109216,0.0983446932813862,0.371937275405704,29,"low"
"101",101,"sj",1992,14,"T2",0.384640875557893,0.313031233998976,0.442492917844853,0.094449853943712,0.405749754985962,30,"low"
"102",102,"sj",1992,15,"T2",0.357271016483189,0.110624679979519,0.535033050048536,0.153846153846311,0.445606011114743,30,"low"
"103",103,"sj",1992,16,"T2",0.366633455661414,0.212775217613927,0.42247403202729,0.0535540408960878,0.526951976482403,28,"low"
"104",104,"sj",1992,17,"T2",0.369795517235525,0.0925755248335893,0.45646836641951,0.100292112950223,0.427311336171884,23,"low"
"105",105,"sj",1992,18,"T2",0.253968149930316,0,0.470821529706172,0.153846153846311,0.364096700426926,24,"low"
"106",106,"sj",1992,19,"T2",0.454949281781541,0.0356374807987711,0.489140698790901,0.111976630963928,0.461287161060865,29,"low"
"107",107,"sj",1992,20,"T2",0.306472230153402,0.00752688172043011,0.488951841302697,0.0593962999025992,0.454099967328412,26,"low"
"108",108,"sj",1992,21,"T2",0.27702844722228,0.18394777265745,0.49877242685548,0.0925024342748749,0.63083959491119,23,"low"
"109",109,"sj",1992,22,"T2",0.464543179495721,0.476830517153098,0.526156751672379,0.068159688412707,0.699444625946912,20,"low"
"110",110,"sj",1992,23,"T2",0.353774727112431,0.108141321044547,0.590745986726754,0.0516066212272507,0.718065991507217,19,"low"
"111",111,"sj",1992,24,"T2",0.315964822588312,0.110624679979519,0.563928234110064,0.0428432327164613,0.669389088535886,20,"low"
"112",112,"sj",1992,25,"T2",0.419540111218361,0.133307731694828,0.56789423977594,0.0438169425512207,0.654688010453536,26,"low"
"113",113,"sj",1992,26,"T2",0.370795899883669,0.135586277521761,0.652124645935866,0.0253164556962457,0.696504410321295,29,"low"
"114",114,"sj",1992,27,"T3",0.407075538713138,0.0274961597542243,0.732577903653731,0.0623174294061956,0.680496569746293,31,"low"
"115",115,"sj",1992,28,"T3",0.430043004496159,0.00476190476190476,0.746931067072592,0.0973709834466269,0.669225743227163,28,"low"
"116",116,"sj",1992,29,"T3",0.390762189783681,0.241013824884793,0.681397544841605,0.0438169425512207,0.653381247960884,26,"low"
"117",117,"sj",1992,30,"T3",0.232939977590104,0.0857910906298003,0.606987724234447,0.0457643622200578,0.632636393341445,32,"low"
"118",118,"sj",1992,31,"T3",0.349502094540431,0.0796722990271377,0.580358829105961,0.0311587147034386,0.617281934012769,35,"low"
"119",119,"sj",1992,32,"T3",0.415436157803446,0.151612903225806,0.67686496697552,0.0730282375851406,0.666775563539149,33,"low"
"120",120,"sj",1992,33,"T3",0.458969419466228,0.167818740399386,0.605476864989818,0.0408958130476242,0.651747794839353,30,"low"
"121",121,"sj",1992,34,"T3",0.419001301796586,0.174654377880184,0.64192634553888,0.0603700097373585,0.672982685396395,52,"low"
"122",122,"sj",1992,35,"T3",0.394419363448613,0.0709165386584741,0.718035882878872,0.0730282375851406,0.656648154203947,59,"low"
"123",123,"sj",1992,36,"T3",0.416209441730535,0.15757808499744,0.723512747921568,0.0574488802337621,0.66873570728956,67,"low"
"124",124,"sj",1992,37,"T3",0.470040639272129,0.0546338965693804,0.67308781866565,0.0457643622200578,0.644560601118335,65,"low"
"125",125,"sj",1992,38,"T3",0.348175027511361,0.105785970302099,0.706326723369456,0.0671859785786292,0.666122182292823,74,"low"
"126",126,"sj",1992,39,"T3",0.447546550764152,0.244623655913978,0.615675165254605,0.0467380720548171,0.690133943155326,70,"low"
"127",127,"sj",1992,40,"T4",0.396905882809441,0.250128008192524,0.659490084935203,0.0642648490750327,0.673309376025275,61,"low"
"128",128,"sj",1992,41,"T4",0.412046104870753,0.0591397849462366,0.744475920651352,0.129503407984143,0.706795164976653,53,"low"
"129",129,"sj",1992,42,"T4",0.537708347099194,0.0485151049667179,0.724834749810191,0.110029211295091,0.639496896445017,76,"low"
"130",130,"sj",1992,43,"T4",0.252728871497088,0.0311827956989247,0.689140698817344,0.0788704965923335,0.609278013725268,61,"low"
"131",131,"sj",1992,44,"T4",0.355331310946372,0.206298003072197,0.683097261574431,0.113924050632765,0.632473048021288,57,"low"
"132",132,"sj",1992,45,"T4",0.440923138406428,0.163850486431132,0.68366383377464,0.0486854917236542,0.687683763478745,44,"low"
"133",133,"sj",1992,46,"T4",0.329692665779541,0.102560163850486,0.582436260550799,0.0720545277510628,0.544919960796382,34,"low"
"134",134,"sj",1992,47,"T4",0.293848458050183,0.111213517665131,0.490084985835321,0.0321324245375164,0.497549820317702,47,"low"
"135",135,"sj",1992,48,"T4",0.356859942234283,0.121402969790067,0.532577903627296,0.0438169425512207,0.664652074491448,60,"low"
"136",136,"sj",1992,49,"T4",0.368998764903972,0.137557603686636,0.5055712936546,0.0389483933787871,0.56746161385751,60,"low"
"137",137,"sj",1992,50,"T4",0.397698150999427,0.220890937019969,0.541831916847664,0.0516066212272507,0.492649460964542,53,"low"
"138",138,"sj",1992,51,"T4",0.408233033947596,0,0.482530689347779,0.0876338851024413,0.404279647173153,36,"low"
"139",139,"sj",1992,52,"T4",0.246672837152788,0,0.335410764866304,0.0389483933787871,0.298268539696665,31,"low"
"140",140,"sj",1993,53,"T4",0.155167361510944,0.11715409134764,0.537544226706964,0.241735923966797,0.575220290246636,30,"low"
"141",141,"sj",1993,1,"T1",0.237780734135527,0.11979006656426,0.374315391836613,0.0370009737099499,0.434988565830505,32,"low"
"142",142,"sj",1993,2,"T1",0.284663657930605,0,0.356373937596087,0.0243427458621679,0.314603070889112,28,"low"
"143",143,"sj",1993,3,"T1",0.467819983407587,0,0.365627950816455,0.0574488802337621,0.31721659588585,33,"low"
"144",144,"sj",1993,4,"T1",0.323189960645707,0,0.30821529740541,0.049659201557732,0.296308395946253,33,"low"
"145",145,"sj",1993,5,"T1",0.262883042444625,0.194495647721454,0.395089707210391,0.049659201557732,0.427311336171884,35,"low"
"146",146,"sj",1993,6,"T1",0.463806802428509,0,0.258923512682116,0.0671859785786292,0.30529238810896,22,"low"
"147",147,"sj",1993,7,"T1",0.469128640311512,0.0376600102406554,0.413031161450917,0.0769230769228148,0.347272133296876,13,"low"
"148",148,"sj",1993,8,"T1",0.526981931238164,0,0.281964117121135,0.0963972736125491,0.241424371117676,13,"low"
"149",149,"sj",1993,9,"T1",0.409408423840458,0,0.314447592004321,0.0983446932813862,0.203364913430584,21,"low"
"150",150,"sj",1993,10,"T1",0.475944128987413,0,0.23663833806371,0.0769230769228148,0.0991506043843501,17,"low"
"151",151,"sj",1993,11,"T1",0.263962149017387,0.0247823860727087,0.425684608136951,0.0905550146053562,0.382881411307388,11,"low"
"152",152,"sj",1993,12,"T1",0.375016021900682,0.0691244239631336,0.389990557144097,0.0613437195714363,0.335347925519986,8,"low"
"153",153,"sj",1993,13,"T1",0.350388165104902,0,0.357507082128704,0.0535540408960878,0.398399215944787,8,"low"
"154",154,"sj",1993,14,"T2",0.401519114570514,0.0191756272401434,0.411142587362085,0.068159688412707,0.394152237837952,6,"low"
"155",155,"sj",1993,15,"T2",0.219894059180016,0.0505376344086021,0.446458923510729,0.115871470301602,0.432701731462647,6,"low"
"156",156,"sj",1993,16,"T2",0.33401215134474,0.294034818228367,0.382436260656563,0.0963972736125491,0.431394968969996,7,"low"
"157",157,"sj",1993,17,"T2",0.350352947131989,0.0853814644137225,0.522946175562718,0.075949367088737,0.558150931065923,12,"low"
"158",158,"sj",1993,18,"T2",0.334407300604903,0.0956221198156682,0.464966949951464,0.0340798442063535,0.565174779489652,17,"low"
"159",159,"sj",1993,19,"T2",0.297471510331339,0.0893497183819764,0.401322001809302,0.0778967867575741,0.520418163996277,10,"low"
"160",160,"sj",1993,20,"T2",0.420395241206019,0.0379928315412186,0.524645892295551,0.0584225900685214,0.587879777848069,10,"low"
"161",161,"sj",1993,21,"T2",0.254560844485055,0.200128008192524,0.625118035830979,0.0623174294061956,0.739790918001862,18,"low"
"162",162,"sj",1993,22,"T2",0.334506077442977,0.159242191500256,0.55637393762253,0.0379746835447093,0.713002286833899,19,"low"
"163",163,"sj",1993,23,"T2",0.391447872303394,0.0217101894521249,0.796222851795893,0.0876338851024413,0.774746814766048,12,"low"
"164",164,"sj",1993,24,"T2",0.445066024228035,0.0784690220174091,0.601322001835745,0.0506329113924914,0.619078732443024,22,"low"
"165",165,"sj",1993,25,"T2",0.356281194617054,0.240015360983103,0.645892351204757,0.0408958130476242,0.685723619739768,12,"low"
"166",166,"sj",1993,26,"T2",0.45277707140907,0.0217357910906298,0.670066100044194,0.0438169425512207,0.70973538060227,21,"low"
"167",167,"sj",1993,27,"T3",0.352226160253086,0.0954429083461342,0.651935788447669,0.0360272638751906,0.650767722964147,18,"low"
"168",168,"sj",1993,28,"T3",0.378646009933513,0.189298515104967,0.654202077380704,0.0778967867575741,0.65681149951267,16,"low"
"169",169,"sj",1993,29,"T3",0.432579450093627,0.0123143881208397,0.694806421083847,0.075949367088737,0.640476968308789,16,"low"
"170",170,"sj",1993,30,"T3",0.33750010105034,0.199769585253456,0.60830972612307,0.0272638753650828,0.722476314934209,22,"low"
"171",171,"sj",1993,31,"T3",0.520425697188219,0.031694828469022,0.717469310678656,0.068159688412707,0.755962103885586,17,"low"
"172",172,"sj",1993,32,"T3",0.419043209661701,0.0185611879160266,0.725212464522203,0.0662122687438699,0.717249264952168,25,"low"
"173",173,"sj",1993,33,"T3",0.367608291274984,0.273502304147465,0.665533522178116,0.0593962999025992,0.713165632154056,23,"low"
"174",174,"sj",1993,34,"T3",0.483970478373209,0.00348182283666155,0.698394712037712,0.0652385589097921,0.70908199934451,12,"low"
"175",175,"sj",1993,35,"T3",0.394365469934076,0.0789810547875064,0.705949008525253,0.0564751703990027,0.664488729171291,25,"low"
"176",176,"sj",1993,36,"T3",0.277468479805981,0.110752688172043,0.677620396531735,0.0555014605649249,0.66840901666068,28,"low"
"177",177,"sj",1993,37,"T3",0.409979167055449,0.0369175627240143,0.665911237022319,0.0399221032135464,0.684743547864562,27,"low"
"178",178,"sj",1993,38,"T3",0.291407316525701,0.182693292370712,0.718035882878872,0.0905550146053562,0.713165632154056,18,"low"
"179",179,"sj",1993,39,"T3",0.260998688816052,0.186533538146441,0.694050991527632,0.0555014605649249,0.732277033651964,23,"low"
"180",180,"sj",1993,40,"T4",0.383858581439804,0.0707117255504352,0.655146364425124,0.0214216163585714,0.73048023522171,23,"low"
"181",181,"sj",1993,41,"T4",0.395943007700574,0.0205069124423963,0.703493862104006,0.0399221032135464,0.702548186869818,29,"low"
"182",182,"sj",1993,42,"T4",0.321282148391171,0,0.733144475853948,0.0613437195714363,0.672002613532624,38,"low"
"183",183,"sj",1993,43,"T4",0.411126646310145,0.179390681003584,0.681208687485599,0.0408958130476242,0.667755635414354,36,"low"
"184",184,"sj",1993,44,"T4",0.420686319267815,0,0.694050991527632,0.0642648490750327,0.654688010453536,43,"low"
"185",185,"sj",1993,45,"T4",0.21487908325774,0,0.607176581722652,0.0623174294061956,0.565664815427255,46,"low"
"186",186,"sj",1993,46,"T4",0.353839097593247,0.0320020481310804,0.556562795110727,0.0331061343722757,0.556190787326946,31,"low"
"187",187,"sj",1993,47,"T4",0.498620252689088,0.235048643113159,0.520302171785472,0.0350535540411128,0.565501470107098,25,"low"
"188",188,"sj",1993,48,"T4",0.391746056542184,0.0155913978494624,0.527667610917008,0.04479065238598,0.535772623324952,40,"low"
"189",189,"sj",1993,49,"T4",0.361409904294464,0.0135432667690732,0.473654390971623,0.068159688412707,0.482195361000461,31,"low"
"190",190,"sj",1993,50,"T4",0.109244316412378,0.0379416282642089,0.519546742229257,0.0749756572539777,0.440868997058871,38,"low"
"191",191,"sj",1993,51,"T4",0.21530814855314,0.109114183307732,0.473654390971623,0.0817916260952484,0.449852989221578,30,"low"
"192",192,"sj",1994,52,"T4",0.155167361510944,0.0134408602150538,0.514447592030764,0.0740019474198999,0.464717412612651,22,"low"
"193",193,"sj",1994,1,"T1",0.227206985833252,0.032258064516129,0.470066100017758,0.0477117818888949,0.369977131655292,31,"low"
"194",194,"sj",1994,2,"T1",0.452545572362179,0,0.390557129344306,0.0584225900685214,0.38663835347662,26,"low"
"195",195,"sj",1994,3,"T1",0.378220967793164,0,0.433238904624485,0.0516066212272507,0.349885658282179,35,"low"
"196",196,"sj",1994,4,"T1",0.296398836615872,0,0.388101982923066,0.0662122687438699,0.368507023853918,36,"low"
"197",197,"sj",1994,5,"T1",0.534708917377232,0,0.390368271988307,0.0574488802337621,0.333714472398454,39,"low"
"198",198,"sj",1994,6,"T1",0.302337306826167,0,0.380736543923729,0.026290165531005,0.294184906898553,25,"low"
"199",199,"sj",1994,7,"T1",0.631219755277094,0,0.414919735539749,0.0632911392402734,0.263475988241201,31,"low"
"200",200,"sj",1994,8,"T1",0.325180228021784,0,0.372804532591984,0.068159688412707,0.279157138187323,37,"low"
"201",201,"sj",1994,9,"T1",0.418814378748888,0,0.343720491042259,0.0778967867575741,0.325057170864628,33,"low"
"202",202,"sj",1994,10,"T1",0.334084019142624,0.018305171530978,0.348064211552338,0.0740019474198999,0.405096373739636,25,"low"
"203",203,"sj",1994,11,"T1",0.336998589628517,0,0.378847969702698,0.0827653359300077,0.299411956880594,24,"low"
"204",204,"sj",1994,12,"T1",0.335975870088267,0,0.446647780866728,0.156767283349226,0.331754328648043,18,"low"
"205",205,"sj",1994,13,"T1",0.366433919743245,0.119354838709677,0.481964117015372,0.075949367088737,0.369323750408966,23,"low"
"206",206,"sj",1994,14,"T2",0.329039125195443,0,0.460623229441385,0.0710808179163034,0.323750408360542,13,"low"
"207",207,"sj",1994,15,"T2",0.423491478096395,0,0.383569405056981,0.0506329113924914,0.392355439396263,18,"low"
"208",208,"sj",1994,16,"T2",0.430322418202165,0,0.38413597725719,0.0525803310613285,0.294838288144879,14,"low"
"209",209,"sj",1994,17,"T2",0.279784392247928,0,0.487629839414074,0.0856864654336042,0.361973211367792,17,"low"
"210",210,"sj",1994,18,"T2",0.341031760659254,0.174091141833077,0.567327667575724,0.0895813047712784,0.560927801371383,22,"low"
"211",211,"sj",1994,19,"T2",0.335927969398441,0.0267793138760881,0.518413597696633,0.0399221032135464,0.521888271809085,13,"low"
"212",212,"sj",1994,20,"T2",0.333263844505258,0.0422427035330261,0.507459867743439,0.0311587147034386,0.577589023192711,24,"low"
"213",213,"sj",1994,21,"T2",0.425266527631178,0.0448540706605223,0.701416430526969,0.104186952287898,0.659915060435577,31,"low"
"214",214,"sj",1994,22,"T2",0.41200273023036,0.0168714797747056,0.655901794113538,0.068159688412707,0.571381901346899,34,"low"
"215",215,"sj",1994,23,"T2",0.268007284743614,0.108883768561188,0.620207743120691,0.075949367088737,0.606011107482205,31,"low"
"216",216,"sj",1994,24,"T2",0.348796338153329,0.0353814644137225,0.657034938646162,0.0710808179163034,0.584939562233886,31,"low"
"217",217,"sj",1994,25,"T2",0.275739306811139,0.0981566820276498,0.643059490071505,0.0467380720548171,0.585592943480212,38,"low"
